FR,DY,PRP,HS,HZ,Hybrid1,Hybrid2
494,inf,242,187,308,177,443
366,657,237,164,197,206,149
inf,inf,236,151,168,153,251
233,485,160,138,219,77,242
481,inf,191,238,149,147,282
224,894,272,169,190,144,168
inf,1258,314,170,203,126,140
263,754,199,131,160,129,169
269,904,196,137,232,129,122
265,1286,179,118,198,103,211
374,inf,192,118,332,133,345
176,358,93,102,151,148,123
419,1403,320,191,324,167,216
306,852,163,211,172,192,209
239,337,182,115,207,127,106
141,588,99,284,118,146,138
287,inf,187,136,226,88,199
285,280,229,156,189,155,152
206,492,129,126,217,98,262
154,112,82,85,80,55,81
110,127,78,73,83,65,67
133,124,71,88,90,57,57
182,112,84,80,98,60,58
133,128,79,85,92,61,66
102,119,87,75,99,59,65
140,150,88,76,106,61,75
127,129,93,92,85,65,73
118,147,78,86,90,69,75
144,114,65,73,84,62,75
118,122,76,103,82,66,69
113,128,79,117,82,66,60
99,124,78,71,79,58,60
134,137,76,92,76,57,68
183,141,95,74,93,51,72
145,116,88,95,92,55,68
115,130,83,117,85,58,68
94,115,78,88,100,57,64
181,111,104,77,90,59,77
101,145,88,68,83,66,75
118,113,71,97,88,60,64
107,122,65,94,99,56,60
161,122,95,78,88,61,58
127,112,75,93,75,72,60
177,104,77,71,109,59,69
122,149,60,75,98,57,76
121,124,94,69,95,64,68
113,119,87,87,82,55,60
110,120,87,78,85,58,73
119,122,86,67,95,63,69
98,115,72,95,98,60,64
145,108,67,78,100,58,59
94,115,87,76,87,61,72
113,116,66,84,87,63,76
107,114,92,117,83,66,72
137,130,78,73,88,57,66
101,140,73,95,103,55,69
119,138,73,94,83,54,64
135,138,93,102,100,56,70
150,118,69,75,93,56,87
115,131,68,70,75,62,82
112,128,71,91,80,59,69
109,107,76,81,82,67,63
128,113,77,100,77,71,63
137,109,75,68,90,53,60
98,117,87,83,84,57,69
97,116,88,77,89,70,66
92,117,69,83,90,62,62
110,135,74,73,84,59,73
121,114,67,74,80,66,75
153,126,76,86,85,59,79
144,129,94,78,80,64,71
130,119,78,71,91,55,69
148,144,71,86,92,68,78
179,132,67,69,102,65,72
104,108,72,91,94,61,69
117,125,87,82,82,65,69
118,107,77,79,95,61,69
160,119,82,84,93,57,61
84,115,68,81,100,63,70
126,122,101,110,91,56,87
127,131,78,101,90,56,64
98,106,75,91,86,57,71
