FR<color=blue><linestyle=dashed>,DY<color=green><linestyle=dashed>,PRP<color=lime><linestyle=dashed>,HS<color=red><linestyle=dashed>,HZ<color=red>,Hybrid1<color=purple>,Hybrid2<color=orchid>
2476,inf,867,320,506,315,271
inf,inf,2422,227,354,215,272
1336,2233,1008,220,1075,259,399
2511,2802,285,271,865,174,249
1431,inf,2192,246,1620,295,250
inf,2252,292,231,1008,394,333
inf,inf,270,311,806,220,353
2652,inf,inf,285,967,235,428
1842,inf,1132,301,751,355,384
959,inf,1048,204,375,301,389
inf,inf,inf,269,417,272,370
2174,2392,1787,230,576,215,262
1614,inf,2129,238,1262,275,390
1574,inf,1885,306,347,215,259
inf,inf,1115,210,244,212,304
858,inf,947,297,428,322,375
2488,2824,1574,286,1180,273,321
1549,inf,314,220,350,277,294
1934,1613,1587,1654,815,211,320
1952,inf,334,235,1274,218,284
1149,1416,inf,254,870,263,376
1301,2591,1411,287,335,225,427
2656,inf,2381,263,361,399,266
2088,1126,324,237,253,208,352
1422,2850,1294,256,394,265,286
1408,inf,1299,267,1223,251,299
1105,inf,inf,206,567,376,363
1880,2625,1481,276,728,234,288
2572,inf,2743,314,341,402,254
inf,1452,2194,275,330,290,321
2795,inf,1810,260,1256,298,212
2383,inf,341,304,569,216,381
1085,2706,707,296,384,271,302
1308,1908,363,286,356,365,351
1221,inf,1834,350,988,233,506
inf,2733,1698,286,715,239,338
974,inf,1015,292,867,471,287
2232,1835,2688,294,515,212,408
1556,inf,2162,278,700,309,286
1177,inf,1033,279,463,200,342
1562,2598,1365,241,1114,189,243
inf,inf,326,275,318,215,358
1458,inf,1247,334,1266,218,286
2013,1042,2162,211,778,273,263
inf,inf,1457,254,570,253,297
1874,inf,1621,312,316,183,261
1478,inf,1713,267,1136,225,280
1619,inf,1546,273,857,225,284
2558,inf,996,259,393,184,287
1028,inf,1050,258,1405,251,307
2247,2966,1375,280,478,245,304
1571,inf,2632,230,1396,203,241
1883,inf,433,295,323,195,402
inf,2572,2586,214,338,239,360
1688,inf,395,357,643,220,366
1160,inf,2760,248,1346,217,254
inf,1633,283,258,1045,241,276
961,inf,869,250,663,271,317
1541,1893,312,317,280,204,320
2773,inf,711,257,1114,183,323
inf,inf,331,265,368,217,362
2378,2190,inf,227,1089,253,255
2215,inf,1877,282,665,181,352
1216,inf,1940,1588,408,248,326
650,inf,inf,255,350,372,639
1823,2757,inf,306,1273,204,362
2136,2485,787,264,726,242,361
1824,1384,1948,291,966,246,315
1303,inf,854,265,1023,195,367
inf,1970,1821,316,1574,235,344
1871,1184,849,287,546,186,352
1289,inf,1745,211,305,563,208
1137,inf,1396,314,1226,194,359
2481,1514,1364,288,550,232,441
1094,1389,1144,202,1054,240,349
1172,2098,1583,246,758,253,305
inf,inf,1805,293,1134,217,322
1213,849,781,217,1968,265,315
2498,1237,1025,276,352,314,352
1705,1437,1058,263,529,238,361
1921,2189,1910,295,556,260,414
1865,inf,317,358,1282,169,277
1105,1589,2820,201,862,206,405
inf,inf,1316,312,964,211,334
1124,inf,1693,276,292,226,224
1176,inf,1096,324,1218,202,310
2098,inf,2863,282,320,248,242
1550,inf,990,257,256,236,318
2007,inf,369,313,280,208,344
inf,2718,1817,232,693,206,412
1592,inf,inf,311,785,230,405
2277,inf,1369,239,620,349,311
1142,inf,1747,300,371,252,427
